dataset,model,method,density_model,mse,mae,r2,r_sep,i_sep,c_sep_xfit,pred_pearson_abs,pred_spearman_abs,pred_mean_gap,residual_mean_gap,group_mse_gap,wasserstein_pred_gap,fit_seconds,total_seconds,selected_radius,selected_bandwidth
Community,linear,agarwal-bgl,none,0.0216807271816119,0.10583287102394398,0.5974965591204693,1.4782265402769432,0.142910341753469,0.05622524356717005,0.5991323702684219,0.5312582895601008,0.2978440225506681,0.0127978761933885,0.025484295702166947,0.29789326956089013,0.32162456890218893,0.6724958771483216,,
Community,linear,berk-pairwise,none,0.02390871040572818,0.1102368384305659,0.5561048980626441,1.1034415955256516,0.03325271041051577,0.013089594583233161,0.48655530643200595,0.44072316065603995,0.1694921823823529,0.12897890521568706,0.03823670764193904,0.16977235747037595,0.29571857075061414,0.6636395875517337,,
Community,linear,calders-effect-control,none,0.0357465577146814,0.1418681879279255,0.3359205621848905,1.2897319910108713,0.16677920008365305,0.06567564642732901,0.04567645814910811,0.04098873656560163,0.01763338245428741,0.3003009742673304,0.07709986386027284,0.06390330932566261,0.03423548334976658,0.3990648730497924,,
Community,linear,chzhen-repair,none,0.0409585419661288,0.14664714160412035,0.2387189649242451,1.4610055839114537,0.17114736380224618,0.06735770600147792,0.03708790524350031,0.03719879061821946,0.018196905556884062,0.3035525506446955,0.07611549106278158,0.026557447473772682,0.045790775101340844,0.38693253954988904,,
Community,linear,fair-reweighing,Kernel,0.025266523521915708,0.11579465721033541,0.5307116052089355,1.1089012799873557,0.020669927105038396,0.008265051094337141,0.4467901436563578,0.3992856904000263,0.21423305996530978,0.08423802763273022,0.031841300939506385,0.21450882685475609,1.9741531125517213,2.311153275046672,,0.20249999999999999
Community,linear,fair-reweighing,Neighbor,0.02528954823230133,0.11600272934329843,0.530224355151468,1.1074891822167392,0.02000975766918097,0.007987999209383265,0.4457751078054146,0.3988390853404281,0.21393706603040047,0.08453402156763948,0.03144650800108859,0.21415121173431656,3.874471058301424,4.223509170700709,0.465,
Community,linear,none,none,0.02073378463433267,0.10214749227134912,0.6151044947133386,1.4927550549324509,0.15697846943262048,0.0617740889333712,0.6122962562873645,0.5414706124121496,0.2978366800811563,0.013644329481659506,0.025873279227228884,0.29788869047871663,0.024792635502672057,0.3671600207504525,,
