dataset      , model , method                , density_model, mse                 , mae                , r2                 , r_sep, i_sep, c_sep_xfit          , pred_pearson_abs    , pred_spearman_abs  , pred_mean_gap      , residual_mean_gap   , group_mse_gap      , wasserstein_pred_gap, fit_seconds        , total_seconds      , selected_radius, selected_bandwidth
Community_Con, linear, agarwal-bgl           , none         , 0.022931969165802   , 0.11062856167554855, 0.5741952061653137 ,      ,      , 0.09051696348794017 , 0.6880581999815865  , 0.6164997018939953 , 0.37221791164980206, 0.03378147346962203 , 0.03479389517322569,  0.3723488830822862 , 0.4950712896497862 , 0.5477972478482116 ,                ,  
Community_Con, linear, berk-pairwise         , none         , 0.02217007022978839 , 0.10465963695658878, 0.5884107966520296 ,      ,      , 0.03318404372040501 , 0.6164569921238752  , 0.5829664019004771 , 0.25166513312205724, 0.1422885959967412  , 0.04457725824522864,  0.25166513312205724, 0.32457075015336156, 0.3535003727462026 ,                ,  
Community_Con, linear, calders-effect-control, none         , 0.042211965285241605, 0.15058108568191528, 0.21607040166854857,      ,      , 0.11206245786516986 , 0.046379262070522384, 0.09026614169480532, 0.05303590578245272, 0.37313972367907067 , 0.10913923413859286,  0.05688303261380432, 0.25244998539856167, 0.29808032720029587,                ,  
Community_Con, linear, chzhen-repair         , none         , 0.048716654678993145, 0.16276391091864337, 0.09491659115317555,      ,      , 0.04276670500389547 , 0.11467326508303399 , 0.05187288385901491, 0.04951333266476406, 0.38472129672202326 , 0.09087168942128625,  0.05213179632446017, 0.2461529479987803 , 0.2989418458993896 ,                ,  
Community_Con, linear, fair-reweighing       , Kernel       , 0.02580170501023531 , 0.11455897316336631, 0.520663583278656  ,      ,      , 0.012941489030741072, 0.5448494928013312  , 0.49894828204906416, 0.2593124153249561 , 0.13776952985313792 , 0.04892185702052922,  0.2594242804626087 , 1.6639304395997896 , 1.7176636124015203 ,                , 0.19750000000000004
Community_Con, linear, fair-reweighing       , Neighbor     , 0.026212015002965928, 0.11584747508168221, 0.5129176646471023 ,      ,      , 0.011974850421526951, 0.5398713183267868  , 0.49557237941969434, 0.25840676226766685, 0.1389839479979234  , 0.04878967781902911,  0.25847977163621777, 2.48515821244946   , 2.5372190624504585 ,          0.3875,  
Community_Con, linear, none                  , none         , 0.020483141392469408, 0.10138044320046902, 0.6197426408529282 ,      ,      , 0.1352923997738237  , 0.7314518071975016  , 0.6532229777310083 , 0.37546032104328997, 0.030915275702073412, 0.03714062530272239,  0.3755751201604099 , 0.21072536870124167, 0.2734942395494727 ,                ,  
