dataset  , model , method                , density_model, mse                 , mae                , r2                , r_sep, i_sep, c_sep_xfit          , pred_pearson_abs    , pred_spearman_abs  , pred_mean_gap       , residual_mean_gap  , group_mse_gap       , wasserstein_pred_gap, fit_seconds           , total_seconds       , selected_radius   , selected_bandwidth
Insurance, linear, agarwal-bgl           , none         , 0.009088649102630835, 0.06609693348640457, 0.7456287115520096,      ,      , 0.017038211639837743, 0.3459062593285408  , 0.5806127213934131 , 0.15400833971766204 , 0.03401339420636819, 0.004477785556101719,  0.1632745973960092 , 0.001414362651121337  , 0.01587921669924981 ,                   ,              
Insurance, linear, berk-pairwise         , none         , 0.010761786188481623, 0.0764586613332273 , 0.6990147783986019,      ,      , 0.042300705133573986, 0.09848283972275082 , 0.3558130058856124 , 0.04395787843211087 , 0.11349388122321571, 0.006162507616967396,  0.05800697044848239, 0.010027518798597156  , 0.025093900050705997,                   ,              
Insurance, linear, calders-effect-control, none         , 0.012247597748241407, 0.08424546547729847, 0.6573644529125665,      ,      , 0.10315666592874344 , 0.043055901258745144, 0.09031188411990922, 0.03317415604174502 , 0.15482912866572796, 0.00905525202805196 ,  0.0342865816565064 , 0.0006754561967682093 , 0.0153638146504818  ,                   ,              
Insurance, linear, chzhen-repair         , none         , 0.013956998717682346, 0.0912752650424614 , 0.609413649076205 ,      ,      , 0.05351992210558674 , 0.055003594869265336, 0.06555545505551819, 0.042554293751672335, 0.1413197378395008 , 0.011184618561160702,  0.04674883243397175, 0.0016666417497617659 , 0.01628529374866048 ,                   ,              
Insurance, linear, fair-reweighing       , Kernel       , 0.009310422740100039, 0.06858758429044848, 0.7396992095793241,      ,      , 0.011517601067942402, 0.33013385582032384 , 0.555567588431318  , 0.14110040444958005 , 0.03670415310847875, 0.004480258115773075,  0.1498972364428829 , 0.25529701669947824   , 0.2721810041977733  ,                   ,             0.7475
Insurance, linear, fair-reweighing       , Neighbor     , 0.01026315707876197 , 0.07996016737621173, 0.7128965345444904,      ,      , 0.01823959568096208 , 0.3444494510520877  , 0.500551102662979  , 0.13553539373408105 , 0.03888080573275953, 0.004384782764892911,  0.13945281383850397, 0.13984641029965134   , 0.16218465629935963 , 0.4149999999999999,              
Insurance, linear, none                  , none         , 0.009083916301062391, 0.06601716342157972, 0.7457732532239695,      ,      , 0.01682115579482895 , 0.3456114729973164  , 0.57865377987308   , 0.15433433266419203 , 0.03415560446366355, 0.004477122901364259,  0.16348142133063787, 0.00024146669966285117, 0.01659655819821637 ,                   ,              
