Treatment,MSE,RMSE,R2,AOD_race,AODc_race,DP_race,BGL_mse_race,BGL_mae_race
None,0.020 +/- 0.001,0.142 +/- 0.003,0.624 +/- 0.020,-0.498 +/- 0.036,-0.518 +/- 0.049,0.500 +/- 0.017,0.038 +/- 0.002,0.151 +/- 0.004
Reweighing,0.024 +/- 0.001,0.154 +/- 0.004,0.567 +/- 0.021,-0.203 +/- 0.066,-0.108 +/- 0.090,0.350 +/- 0.031,0.045 +/- 0.004,0.163 +/- 0.008
