dataset, model , method                , density_model, mse                 , mae                , r2                 , r_sep             , i_sep                , c_sep_xfit           , pred_pearson_abs    , pred_spearman_abs   , pred_mean_gap       , residual_mean_gap   , group_mse_gap        , wasserstein_pred_gap, fit_seconds         , total_seconds      , selected_radius, selected_bandwidth
LSAC   , linear, agarwal-bgl           , none         , 0.009073363307949129, 0.07668474178676879, 0.1431532105944345 , 1.1535985605501076, 0.12621816874849798  , 0.05311736555965897  , 0.46878458844029297 , 0.42884248451779794 , 0.05154379210402937 , 0.006554320383954426, 0.001979650941318339 , 0.05154484375141449 , 0.05932274560109363 , 0.4467330938015948 ,                ,               
LSAC   , linear, berk-pairwise         , none         , 0.009249337794204998, 0.07762377800023754, 0.12656675086039904, 1.01984398710695  , 0.021557169832979346 , 0.00906703665671643  , 0.2538153607604625  , 0.229295116682871   , 0.021879996229563926, 0.031133956041220306, 0.0026354096661339215, 0.021884610924019755, 0.0868211812005029  , 0.46306714159727563,                ,               
LSAC   , linear, calders-effect-control, none         , 0.009439174560408877, 0.07815652220245727, 0.1086081876150051 , 1.0010143440495607, 0.001946648722270224 , 0.0008205402033050681, 0.019981039270244867, 0.018433471669854266, 0.001954290859334867, 0.05286324832072602 , 0.00386205026028211  , 0.004358938428534795, 0.01720125840001856 , 0.3913503208510519 ,                ,               
LSAC   , linear, chzhen-repair         , none         , 0.009490024334561635, 0.07823769801565465, 0.10379834064069766, 1.0013530815023701, 0.0020240326619849845, 0.000853518125852116 , 0.019540792230374315, 0.01600639957840764 , 0.002159682419113129, 0.05257553971770993 , 0.0038530594620146256, 0.003231671484046158, 0.046819583298201906, 0.40485457495160515,                ,               
LSAC   , linear, fair-reweighing       , Kernel       , 0.009332374480245792, 0.07772337961065968, 0.1187024985497331 , 1.0024121313227217, 0.0012257741388147295, 0.0005447827457122066, 0.09227722325682222 , 0.08859020601156795 , 0.009174602425708427, 0.04383934984507586 , 0.003294942886561257 , 0.009519404571891646, 3.166921283152624   , 3.5511490436496387 ,                ,              0.215
LSAC   , linear, fair-reweighing       , Neighbor     , 0.00932680720954338 , 0.0776977756939957 , 0.11923758921561416, 1.0028925537873161, 0.0015775211428503233, 0.0006821942902319965, 0.09705684689008845 , 0.09297358399344915 , 0.009658056497965356, 0.04335589577281894 , 0.003263856809521479 , 0.010001747411431347, 2.2363123646013263  , 2.6296009019999476 ,           0.395,               
LSAC   , linear, none                  , none         , 0.009072766026896672, 0.07668480556779853, 0.14320786437189775, 1.1537805218213604, 0.1264903567061299   , 0.0532329347491905   , 0.4693919776681117  , 0.4295937815938542  , 0.05155236945781446 , 0.006565863842879963, 0.0019863369377412727, 0.05155341443322795 , 0.018802627101831604, 0.4018172040996433 ,                ,               
