dataset      , model   , baseline_mse      , baseline_r2       , baseline_c_sep_xfit, best_accuracy_method, best_accuracy_density, best_accuracy_mse , best_accuracy_r2  , best_fairness_method, best_fairness_density, best_fairness_c_sep_xfit, c_sep_xfit_reduction_pct, best_fairness_mse , best_fairness_r2  , mse_change_pct_at_best_fairness
Community    , linear  , 0.0207337846343326, 0.6151044947133386,  0.0617740889333712, none                , none                 , 0.0207337846343326, 0.6151044947133386, fair-reweighing     , Neighbor             ,       0.0079879992093832,        87.06901332369472, 0.0252895482323013, 0.530224355151468 ,            21.972658047315292
Community_Con, linear  , 0.0204831413924694, 0.6197426408529282,  0.1352923997738237, none                , none                 , 0.0204831413924694, 0.6197426408529282, fair-reweighing     , Neighbor             ,       0.0119748504215269,        91.14891121633886, 0.0262120150029659, 0.5129176646471023,            27.96872560086273
German       , logistic, 0.2309922267387498, 0.0634666021020033,  0.0111451409889457, none                , none                 , 0.2309922267387498, 0.0634666021020033, fair-reweighing     , Reweighing           ,       0.0009911541597611,        91.10684951635717, 0.2312662883766722, 0.0623572761506292,             0.11864539417266312
Heart        , logistic, 0.1240274816029246, 0.4996453754227394,  0.0313880962536209, none                , none                 , 0.1240274816029246, 0.4996453754227394, fair-reweighing     , Reweighing           ,       0.0039700286151918,        87.3518018324102 , 0.1312504755481865, 0.4705062009664217,             5.823704433817665
Insurance    , linear  , 0.0090839163010623, 0.7457732532239695,  0.0168211557948289, none                , none                 , 0.0090839163010623, 0.7457732532239695, fair-reweighing     , Kernel               ,       0.0115176010679424,        31.52907440829304, 0.0093104227401   , 0.7396992095793241,             2.4934888381920866
LSAC         , linear  , 0.0090727660268966, 0.1432078643718977,  0.0532329347491905, none                , none                 , 0.0090727660268966, 0.1432078643718977, fair-reweighing     , Kernel               ,       0.0005447827457122,        98.97660583945077, 0.0093323744802457, 0.1187024985497331,             2.861403595986924
Synthetic    , linear  , 0.0187778596444516, 0.5906707020047293,  0.0811101885621365, none                , none                 , 0.0187778596444516, 0.5906707020047293, berk-pairwise       , none                 ,       0.0010331644987768,        98.72622106162984, 0.0203364961260211, 0.5567390582018613,             8.300394779178346
